Date,F,M,S,V
2015-12-31,,,,
2016-01-01,,,,
2016-01-04,,,,
2016-01-05,,,,
2016-01-06,,,,
2016-01-07,,,,
2016-01-08,,,,
2016-01-11,,,,
2016-01-12,,,,
2016-01-13,,,,
2016-01-14,,,,
2016-01-15,,,,
2016-01-18,,,,
2016-01-19,,,,
2016-01-20,,,,
2016-01-21,,,,
2016-01-22,,,,
2016-01-25,,,,
2016-01-26,,,,
2016-01-27,,,,
2016-01-28,,,,
2016-01-29,,,,
2016-01-31,,,,
2016-02-01,,,,
2016-02-02,,,,
2016-02-03,,,,
2016-02-04,,,,
2016-02-05,,,,
2016-02-08,,,,
2016-02-09,,,,
2016-02-10,,,,
2016-02-11,,,,
2016-02-12,,,,
2016-02-15,,,,
2016-02-16,,,,
2016-02-17,,,,
2016-02-18,,,,
2016-02-19,,,,
2016-02-22,,,,
2016-02-23,,,,
2016-02-24,,,,
2016-02-25,,,,
2016-02-26,,,,
2016-02-29,,,,
2016-03-01,,,,
2016-03-02,,,,
2016-03-03,,,,
2016-03-04,,,,
2016-03-07,,,,
2016-03-08,,,,
2016-03-09,,,,
2016-03-10,,,,
2016-03-11,,,,
2016-03-14,,,,
2016-03-15,,,,
2016-03-16,,,,
2016-03-17,,,,
2016-03-18,,,,
2016-03-21,,,,
2016-03-22,,,,
2016-03-23,,,,
2016-03-24,,,,
2016-03-25,,,,
2016-03-28,,,-0.7145290243553429,
2016-03-29,,,-0.14382603622049753,
2016-03-30,,,2.438465425700991,
2016-03-31,,,1.1557726743772307,
2016-04-01,,,-0.4529499507337614,
2016-04-04,,,-0.3185727559121927,
2016-04-05,,,0.22159517922557695,
2016-04-06,,,-0.09941836010293867,
2016-04-07,,,0.41602642581874827,
2016-04-08,,,-0.6560417294395873,
2016-04-11,,,-1.0629914424921278,
2016-04-12,,,-0.04818895170656623,
2016-04-13,,,-1.487182244013908,
2016-04-14,,,-0.9010741764915015,
2016-04-15,,,-1.0998763473578963,
2016-04-18,,,-0.7387805762189278,
2016-04-19,,,-0.8666014708272971,
2016-04-20,,,-0.8034470167117654,
2016-04-21,,,0.5926034984945144,
2016-04-22,,,-0.6160506509714714,
2016-04-25,,,-0.38799781604694467,
2016-04-26,,,-3.0,
2016-04-27,,,-3.0,
2016-04-28,,,-3.0,
2016-04-29,,,-3.0,
2016-04-30,,,,
2016-05-02,,,-3.0,
2016-05-03,,,-3.0,
2016-05-04,,,-2.7943039125471207,
2016-05-05,,,-3.0,
2016-05-06,,,-2.4788313950220293,
2016-05-09,,,-2.492206553446928,
2016-05-10,,,-1.9423340358653571,
2016-05-11,,,-2.3026564781850074,
2016-05-12,,,-1.9972576903571797,
2016-05-13,,,-2.3424895840001336,
2016-05-16,,,-2.299804312325148,
2016-05-17,,,-2.1132333731953916,
