Date,F,M,S,V
1987-07-24,,,,
1987-07-27,,,,
1987-07-28,,,,
1987-07-29,,,,
1987-07-30,,,,
1987-07-31,,,,
1987-08-03,,,,
1987-08-04,,,,
1987-08-05,,,,
1987-08-06,,,,
1987-08-07,,,,
1987-08-10,,,,
1987-08-11,,,,
1987-08-12,,,,
1987-08-13,,,,
1987-08-14,,,,
1987-08-17,,,,
1987-08-18,,,,
1987-08-19,,,,
1987-08-20,,,,
1987-08-21,,,,
1987-08-24,,,,
1987-08-25,,,,
1987-08-26,,,,
1987-08-27,,,,
1987-08-28,,,,
1987-08-31,,,,
1987-09-01,,,,
1987-09-02,,,,
1987-09-03,,,,
1987-09-04,,,,
1987-09-07,,,,
1987-09-08,,,,
1987-09-09,,,,
1987-09-10,,,,
1987-09-11,,,,
1987-09-14,,,,
1987-09-15,,,,
1987-09-16,,,,
1987-09-17,,,,
1987-09-18,,,,
1987-09-21,,,,
1987-09-22,,,,
1987-09-23,,,,
1987-09-24,,,,
1987-09-25,,,,
1987-09-28,,,,
1987-09-29,,,,
1987-09-30,,,,
1987-10-01,,,,
1987-10-02,,,,
1987-10-05,,,,
1987-10-06,,,,
1987-10-07,,,,
1987-10-08,,,,
1987-10-09,,,,
1987-10-12,,,,
1987-10-13,,,,
1987-10-14,,,,
1987-10-15,,,,
1987-10-16,,,,
1987-10-19,,,,
1987-10-20,,,,
1987-10-21,,,,
1987-10-22,,,,
1987-10-23,,,,
1987-10-26,,,,
1987-10-27,,,,
1987-10-28,,,,
1987-10-29,,,,
1987-10-30,,,,
1987-11-02,,,,
1987-11-03,,,,
1987-11-04,,,,
1987-11-05,,,,
1987-11-06,,,,
1987-11-09,,,,
1987-11-10,,,,
1987-11-11,,,,
1987-11-12,,,,
1987-11-13,,,,
1987-11-16,,,,
1987-11-17,,,,
1987-11-18,,,,
1987-11-19,,,,
1987-11-20,,,,
1987-11-23,,,,
1987-11-24,,,,
1987-11-25,,,,
1987-11-26,,,,
1987-11-27,,,,
1987-11-30,,,,
1987-12-01,,,,
1987-12-02,,,,
1987-12-03,,,,
1987-12-04,,,,
1987-12-07,,,,
1987-12-08,,,,
1987-12-09,,,,
1987-12-10,,,,
1987-12-11,,,,
1987-12-14,,,,
1987-12-15,,,,
1987-12-16,,,,
1987-12-17,,,,
1987-12-18,,,,
1987-12-21,,,,
1987-12-22,,,,
1987-12-23,,,,
1987-12-24,,,,
1987-12-25,,,,
1987-12-28,,,,
1987-12-29,,,,
1987-12-30,,,,
1987-12-31,,,,
1988-01-01,,,,
1988-01-04,,,,
1988-01-05,,,,
1988-01-06,,,,
1988-01-07,,,,
1988-01-08,,,,
1988-01-11,,,,
1988-01-12,,,,
1988-01-13,,,,
1988-01-14,,,-1.1977699437634397,
1988-01-15,,,-0.6309794306008012,
1988-01-18,,,-0.6251680817815998,
1988-01-19,,,-0.6195592426118891,
1988-01-20,,,-0.614142203679082,
1988-01-21,,,-0.608907017282433,
1988-01-22,,,1.1033658817174878,
1988-01-25,,,1.0524976269455204,
1988-01-26,,,1.0048849065191785,
1988-01-27,,,0.9601483152210316,
1988-01-28,,,0.9179683069659251,
1988-01-29,,,0.23255434626901605,
1988-02-01,,,0.21878784681492874,
1988-02-02,,,0.20532475062641573,
1988-02-03,,,0.19215208556175237,
1988-02-04,,,0.179257772402787,
1988-02-05,,,-1.760173616808335,
1988-02-08,,,-1.6993450770447396,
1988-02-09,,,-1.643868854153713,
1988-02-10,,,-1.592987775228584,
1988-02-11,,,-1.54608695191202,
1988-02-12,,,-0.8723940827288496,
1988-02-15,,,-0.8609714885333438,
1988-02-16,,,-0.8499362097636128,
1988-02-17,,,-0.8392665626600102,
1988-02-18,,,-0.8289425345006028,
1988-02-19,,,-0.15070746800094345,
1988-02-22,,,-0.15402301401036078,
1988-02-23,,,-0.1572954889428675,
1988-02-24,,,-0.16052574111473006,
1988-02-25,,,-0.16371459268811145,
1988-02-26,,,-0.9688955514693353,
1988-02-29,,,-0.9553298852625642,
1988-03-01,,,-0.9422335098941577,
1988-03-02,,,-0.9295792801574883,
1988-03-03,,,-0.9173422136606164,
1988-03-04,,,-1.4073062758768928,
1988-03-07,,,-1.3759859231669216,
1988-03-08,,,-1.3463655755800386,
1988-03-09,,,-1.31829160071902,
1988-03-10,,,-1.2916292085349146,
1988-03-11,,,-2.2146490739379474,
1988-03-14,,,-2.11922947613105,
1988-03-15,,,-2.0338892361225485,
1988-03-16,,,-1.956930677636739,
1988-03-17,,,-1.8870323392753439,
1988-03-18,,,-2.23459477784062,
1988-03-21,,,-2.135521549435047,
1988-03-22,,,-2.046921340072548,
1988-03-23,,,-1.967025436982168,
1988-03-24,,,-1.8944583852101127,
1988-03-25,,,-1.6036788754444309,
1988-03-28,,,-1.559633931940123,
1988-03-29,,,-1.5183230631176337,
1988-03-30,,,-1.4794623516425789,
1988-03-31,,,-1.4428077354480682,
1988-04-01,,,-0.42879816318410224,
1988-04-04,,,-0.4252196058092087,
1988-04-05,,,-0.421693240668909,
1988-04-06,,,-0.4182177134439854,
1988-04-07,,,-0.4147917198323983,
1988-04-08,,,-0.33131144357444453,
1988-04-11,,,-0.3289420082927929,
1988-04-12,,,-0.3266029430374358,
1988-04-13,,,-0.3242935692902469,
1988-04-14,,,-0.3220132301829144,
1988-04-15,,,0.9301057047138895,
1988-04-18,,,0.9122865119432556,
1988-04-19,,,0.8950003120386447,
1988-04-20,,,0.8782179184315885,
1988-04-21,,,0.8619123633374512,
1988-04-22,,,0.513113041287751,
1988-04-25,,,0.5054372458039782,
1988-04-26,,,0.4978844116606614,
1988-04-27,,,0.4904506953252133,
1988-04-28,,,0.4831324257551474,
1988-04-29,,,1.4081895099323287,
1988-05-02,,,1.368698125423602,
1988-05-03,,,1.3312449091924148,
1988-05-04,,,1.2956487279865172,
1988-05-05,,,1.2617503508129089,
1988-05-06,,,-0.9268776870511878,
1988-05-09,,,-0.9154610418219643,
1988-05-10,,,-0.90432179840984,
1988-05-11,,,-0.8934479998345569,
1988-05-12,,,-0.8828284070405085,
1988-05-13,,,1.1562712441581007,
1988-05-16,,,1.1301481715323587,
1988-05-17,,,1.105012016388419,
1988-05-18,,,1.080796483063872,
1988-05-19,,,1.0574413977659765,
1988-05-20,,,0.7057824443914777,
1988-05-23,,,0.693886311697175,
1988-05-24,,,0.6822349887408229,
1988-05-25,,,0.6708188501918002,
1988-05-26,,,0.6596288038109991,
1988-05-27,,,-0.20311010619322256,
1988-05-30,,,-0.20284485887636744,
1988-05-31,,,-0.20258339864086217,
1988-06-01,,,-0.20232566076006686,
1988-06-02,,,-0.2020715820876023,
1988-06-03,,,-0.7337129895699835,
1988-06-06,,,-0.7270374372535433,
1988-06-07,,,-0.7204750846286595,
1988-06-08,,,-0.7140225211214203,
1988-06-09,,,-0.7076764809704524,
1988-06-10,,,0.1184415241983242,
1988-06-13,,,0.11590357235326734,
1988-06-14,,,0.11338598485272014,
1988-06-15,,,0.11088845726904259,
1988-06-16,,,0.10841069204848162,
1988-06-17,,,-0.17806236361689565,
1988-06-20,,,-0.17798171495291068,
1988-06-21,,,-0.1779029164515843,
1988-06-22,,,-0.17782593812882846,
1988-06-23,,,-0.17775075072477137,
1988-06-24,,,-0.37420922644901217,
1988-06-27,,,-0.3723369487840491,
1988-06-28,,,-0.3704834372353162,
1988-06-29,,,-0.36864838482809975,
1988-06-30,,,-0.3668314918558304,
1988-07-01,,,-2.1406077706028457,
1988-07-04,,,-2.0718898012525178,
1988-07-05,,,-2.008357640858294,
1988-07-06,,,-1.9493701553506342,
1988-07-07,,,-1.894392457958105,
1988-07-08,,,-1.125402592000019,
1988-07-11,,,-1.110090791482918,
1988-07-12,,,-1.095192929978676,
1988-07-13,,,-1.080689227520958,
1988-07-14,,,-1.066561215169126,
1988-07-15,,,1.80048250638026,
1988-07-18,,,1.7454998761884166,
1988-07-19,,,1.693916962625839,
1988-07-20,,,1.6453816995457824,
1988-07-21,,,1.5995913097298162,
1988-07-22,,,1.4731889037755892,
1988-07-25,,,1.436769948412837,
1988-07-26,,,1.4020250654549447,
1988-07-27,,,1.3688217626506956,
1988-07-28,,,1.3370418616567863,
1988-07-29,,,0.4828835881790205,
1988-08-01,,,0.4766469824559256,
1988-08-02,,,0.47048516060095713,
1988-08-03,,,0.4643963567050987,
1988-08-04,,,0.4583788650614641,
1988-08-05,,,1.2140479989340378,
1988-08-08,,,1.1888839829494793,
1988-08-09,,,1.1645889165408583,
1988-08-10,,,1.1411094967628446,
1988-08-11,,,1.1183969189797074,
1988-08-12,,,0.3462422434825983,
1988-08-15,,,0.34147686473763605,
1988-08-16,,,0.33675757683266117,
1988-08-17,,,0.3320835033117031,
1988-08-18,,,0.32745379239948014,
1988-08-19,,,1.0941602377451694,
1988-08-22,,,1.0730553216159993,
1988-08-23,,,1.0525777225048074,
1988-08-24,,,1.0326936683485013,
1988-08-25,,,1.0133718976388568,
1988-08-26,,,0.5715189156869248,
1988-08-29,,,0.5631951961820258,
1988-08-30,,,0.554988312581338,
1988-08-31,,,0.546895028451037,
1988-09-01,,,0.5389122354421476,
1988-09-02,,,1.9620336226532626,
1988-09-05,,,1.8906688635448867,
1988-09-06,,,1.8243799477268634,
1988-09-07,,,1.7625705105129459,
1988-09-08,,,1.704738243494616,
1988-09-09,,,1.1163031958726772,
1988-09-12,,,1.0925193888417288,
1988-09-13,,,1.0694936197987266,
1988-09-14,,,1.0471824101657123,
1988-09-15,,,1.0255457140537056,
1988-09-16,,,0.3852999631263529,
1988-09-19,,,0.3789069441902842,
1988-09-20,,,0.3725852502626567,
1988-09-21,,,0.36633331499335187,
1988-09-22,,,0.36014962306320975,
1988-09-23,,,0.43381777022888074,
1988-09-26,,,0.4266262916154897,
1988-09-27,,,0.4195210210084863,
1988-09-28,,,0.4124999083419094,
1988-09-29,,,0.40556097513701295,
1988-09-30,,,0.1540954578525507,
1988-10-03,,,0.15031016160835328,
1988-10-04,,,0.14655504379996492,
1988-10-05,,,0.142829668359296,
1988-10-06,,,0.13913360920389553,
1988-10-07,,,1.8505989996188987,
1988-10-10,,,1.7861061277595078,
1988-10-11,,,1.7258006974619358,
1988-10-12,,,1.6692289897864412,
1988-10-13,,,1.6160034685455824,
1988-10-14,,,0.4351596298093656,
1988-10-17,,,0.42732600612032134,
1988-10-18,,,0.41959006009932587,
1988-10-19,,,0.41194937749298954,
1988-10-20,,,0.40440163193972684,
1988-10-21,,,-0.6266087602134098,
1988-10-24,,,-0.6232281169075918,
