bucket,sub_ac,Z_L1,Z_L2,tilt_L1,tilt_L2,tilt_hier
money_market,,-0.065,0.0,0.0,0.0,0.0
short_term_fi,,0.658,0.0,0.0,0.0,0.0
dm_equity,,-0.363,0.0,-1.3,0.0,-1.3
lt_fi_aggregate,[AGGREGATE],0.725,0.0,,,
,lt_treasuries,0.7253499999999999,-0.5913,0.0,0.0,0.0
,lt_us_corp,0.7253499999999999,0.2097,0.0,0.0,0.0
,lt_em_fi,0.7253499999999999,0.6526,0.0,0.0,0.0
us_equity,[AGGREGATE],0.385,0.0,,,
,us_value,0.3845,-0.1685,0.0,0.0,0.0
,us_growth,0.3845,0.1685,0.0,0.0,0.0
em_equity,[AGGREGATE],0.517,0.0,,,
,em_xchina,0.51675,0.1312,0.0,0.0,0.0
,china_equity,0.51675,-0.3938,0.0,0.0,0.0
