,label,group,Z_F,Z_M,Z_S,Z_V,Z_composite,n_agree,conviction_mult,conviction,abs_tilt_%,Z_relative,rel_tilt_%,final_tilt_%,Z_L1,Z_L2,tilt_L1_pct,tilt_L2_pct,tilt_hier_pct
money_market,Money Market,FI,-0.525,0.255,0.188,-0.196,-0.065,1,0.0,NEUTRAL,0.0,-1.086,-0.0,0.0,-0.065,0.0,0.0,0.0,0.0
short_term_fi,Short-Term Fixed Income (USD),FI,-0.02,0.327,-0.111,1.721,0.658,2,0.5,NEUTRAL,0.0,0.432,0.0,0.0,0.658,0.0,0.0,0.0,0.0
lt_treasuries,LT US Treasuries,FI,-0.093,-0.109,-0.333,0.836,0.134,1,0.0,NEUTRAL,0.0,-0.668,0.0,0.0,0.7253499999999999,-0.5913,0.0,0.0,0.0
lt_us_corp,LT US Corporate,FI,0.041,0.47,0.352,2.384,0.935,3,0.8,MEDIUM OW,1.2,1.014,1.2,1.2,0.7253499999999999,0.2097,0.0,0.0,0.0
lt_em_fi,LT EM Fixed Income,FI,0.041,1.551,1.195,2.654,1.378,3,0.8,MEDIUM OW,1.2,1.944,2.4,1.98,0.7253499999999999,0.6526,0.0,0.0,0.0
us_equity,US Equity (Broad),EQ,0.194,1.041,-0.048,0.258,0.416,2,0.5,NEUTRAL,0.0,-0.076,0.0,0.0,0.3845,0.0,0.0,0.0,0.0
us_growth,US Growth,EQ,0.194,0.824,-0.048,0.776,0.553,2,0.5,NEUTRAL,0.0,0.212,0.0,0.0,0.3845,0.1685,0.0,0.0,0.0
us_value,US Value,EQ,0.17,1.191,-0.094,-0.458,0.216,1,0.0,NEUTRAL,0.0,-0.496,0.0,0.0,0.3845,-0.1685,0.0,0.0,0.0
dm_equity,DM ex-US Equity,EQ,-0.389,0.25,-0.181,-1.217,-0.363,2,0.5,NEUTRAL,0.0,-1.711,-2.0,-1.3,-0.363,0.0,-1.3,0.0,-1.3
em_equity,Emerging Markets Equity,EQ,0.043,1.161,0.481,1.346,0.792,3,0.8,MEDIUM OW,1.6,0.714,0.0,0.56,0.51675,0.0,0.0,0.0,0.0
em_xchina,EM ex-China,EQ,0.043,1.161,0.481,0.772,0.648,3,0.8,NEUTRAL,0.0,0.411,0.0,0.0,0.51675,0.1312,0.0,0.0,0.0
china_equity,China Equity,EQ,1.071,-0.912,0.287,0.285,0.123,3,0.8,NEUTRAL,0.0,-0.691,0.0,0.0,0.51675,-0.3938,0.0,0.0,0.0
